"#","ML #","St","Current Price","List Price","Sale Price","Address","Zip Code","Owner Zip Code","Beds Total","Baths Total","Sq Ft Total","Type","Assessed Value","Basement Description","Additional Exterior Features","Additional Interior Features","Additional Rooms","Additional Structures","Attic Description","Change Date","Chng Info","City","City Village Tax","Close Date","Closed Date Received","Chng Type","Contract Date","DOM","Driveway Description","Expiration Date","Floor Description","Garage Description","Heating Fuel Description","Furnished YN","List Date","Listing Type","Lot Dimensions Depth","Lot Dimensions Frontage","Lot Information"
"1","B470090","S","$239,500","$245,000","$239,500","170 Skyline DR","14001","14001","3","3.1","2,644","RES","$240,000","Crawl Space","Garage Door Opener, Patio","Ceiling Fan, Circuit Breakers - Some, Sliding Glass Door","1st Floor Bedroom, 1st Floor Master Bedroom, Family Room, In-Law - see Remarks, Laundry-1st Floor, Master Bedroom Bath","Shed","Crawl Space","","NEW","Newstead","$1,410","06/18/2015","07/02/2015","","03/24/2015","7","Blacktop","","Ceramic-Some, Hardwood-Some, Linoleum/Vinyl, Wall To Wall Carpet-Some","Attached","Gas","","03/17/2015","Exclusive Right To Sell","149","112","Other - See Remarks"
"1","B470956","S","$215,000","$219,900","$215,000","14 Crescent DR","14001","14001","5","2.1","2,288","RES","$195,300","Full","Cable TV Available, Patio","Cathedral Ceiling, Circuit Breakers - Some, Freestanding/Window AC, Natural Woodwork - some, Sump Pump","Family Room, Foyer/Entry Hall, Laundry-Basement, Living Room, Master Bedroom Bath","","Crawl Space","","NEW","Newstead","$1,154","07/27/2015","08/03/2015","","04/27/2015","27","Blacktop","","Ceramic-Some, Hardwood-Some, Wall To Wall Carpet-Some","Attached","Gas","","03/31/2015","Exclusive Right To Sell","223","100","Corner Lot, Neighborhood Street"
"1","B476358","S","$168,000","$172,700","$168,000","31 Sylvan PKWY","14001","14001","3","2.1","1,612","RES","$145,300","Full, Partially Finished","Cable TV Available, Deck, Garage Door Opener, Patio","Cedar Closets, Circuit Breakers - Some, Copper Plumbing - Some, Drapes - Some, Natural Woodwork - some","1st Floor Bedroom, 1st Floor Master Bedroom, Basement / Rec Room, Foyer/Entry Hall, Laundry-1st Floor, Living Room, Master Bedroom Bath, Porch - Open, Workshop","Shed","Crawl Space","","NEW","Newstead","$764","08/24/2015","08/28/2015","","06/06/2015","5","Blacktop","","Ceramic-Some, Hardwood-Some, Laminate-Some, Tile-Some","Attached","Gas","","06/01/2015","Exclusive Right To Sell","180","105","Neighborhood Street, Wooded Lot"
"1","B469137","S","$153,500","$158,000","$153,500","137 Skyline DR","14001","14001","4","2.1","1,958","RES","$155,000","Exterior Walkout, Finished, Full","Deck","Ceiling Fan, Sump Pump","1st Floor Master Bedroom, Family Room, Laundry-Basement","","Crawl Space","","NEW","Newstead","$916","05/21/2015","05/22/2015","","03/17/2015","15","Blacktop","","Hardwood-Some, Laminate-Some, Wall To Wall Carpet-Some","Attached","Gas","","03/02/2015","Exclusive Right To Sell","179","150","Neighborhood Street"
"1","B486807","S","$144,500","$149,000","$144,500","3 1/2 Jackson ST N","14001","14001","3","2.0","1,403","RES","$117,800","Partial","Barbecue, Garage Door Opener, Other - See Remarks, Private Yard - see Remarks","Circuit Breakers - Some, Copper Plumbing - Some, Drapes - Some, Other - See Remarks","1st Floor Bedroom, 1st Floor Master Bedroom, Laundry-1st Floor, Other - See Remarks, Porch - Open","","Full","","NEW","Newstead","$706","12/29/2015","12/30/2015","","10/22/2015","13","Blacktop","","Hardwood-Some, Linoleum/Vinyl, Wall To Wall Carpet-Some","Attached","Gas","","10/09/2015","Exclusive Right To Sell","127","96","Water View"
"1","B478831","S","$143,900","$143,900","$143,900","84 East AVE","14001","","3","2.0","1,302","RES","$112,800","Partial","Garage Door Opener, Patio","Ceiling Fan, Copper Plumbing - Some, Electrical Fuses - some","Laundry-1st Floor","Shed","Crawl Space","","NEW","Newstead","$677","09/29/2015","09/30/2015","","07/17/2015","21","Blacktop, Common, Shared","","Laminate-Some, Tile-Some","Detached","Electric","","06/26/2015","Exclusive Right To Sell","190","50","Wooded Lot"
"1","B482276","S","$137,000","$139,900","$137,000","8 Bloomingdale AVE","14001","14001","6","2.0","3,286","RES","$163,500","Full","Storage","Cedar Closets, Ceiling Fan, Circuit Breakers - Some, Copper Plumbing - Some, Freestanding/Window AC, Leaded Glass - some, Natural Woodwork - some, Stained Glass - Some","1st Floor Bedroom, 1st Floor Master Bedroom, Bonus Room, Den/Study, Family Room, Foyer/Entry Hall, In-Law - see Remarks, Laundry-2nd Floor, Library, Living Room, Master Bedroom Bath, Porch - Open","","Full","","NEW","Newstead","$1,325","12/07/2015","12/07/2015","","09/01/2015","25","Stone/Gravel","","Hardwood-Some, Laminate-Some, Tile-Some","Detached","Electric, Gas","","08/07/2015","Exclusive Right To Sell","143","100","Corner Lot"
"1","B464040","S","$125,000","$129,900","$125,000","17 Brooklyn ST","14001","14001","3","1.0","1,248","RES","$103,400","Full","Cable TV Available, Deck","Ceiling Fan, Circuit Breakers - Some, Copper Plumbing - Some, Sump Pump","Foyer/Entry Hall, Laundry-Basement, Porch - Open","","Full, Pull Down Stairs, Unfinished","","NEW","Newstead","$611","02/17/2015","03/02/2015","","11/05/2014","3","Blacktop","","Hardwood-Some, Laminate-Some, Wall To Wall Carpet-Some","Detached","Gas","","11/02/2014","Exclusive Right To Sell","198","82","Neighborhood Street"
"1","B464048","S","$123,000","$130,000","$123,000","101 John ST","14001","14001","5","1.1","2,108","RES","$122,600","Full","Other - See Remarks","Ceiling Fan, Circuit Breakers - Some","1st Floor Bedroom, Laundry-Basement, Porch - Enclosed","","Full","","NEW","Newstead","$833","01/26/2015","01/27/2015","","11/10/2014","7","Blacktop, Shared","","Hardwood-Some, Wall To Wall Carpet-Some","","Gas","","11/03/2014","Exclusive Right To Sell","236","62","Neighborhood Street"
"1","B482521","S","$38,500","$41,900","$38,500","63 Wesley","14001","","2","2.0","1,000","RES","$0","None","Cable TV Available","Cathedral Ceiling, Ceiling Fan, Circuit Breakers - Some, Skylight","Family Room","","None","","NEW","Newstead","$0","09/18/2015","09/18/2015","","08/27/2015","19","Concrete","","Linoleum/Vinyl, Wall To Wall Carpet-Some","","Electric","","08/08/2015","Exclusive Right To Sell","100","50","Other - See Remarks"
